ID,Municipio,Comunidade,Area,Sexo,Idade,Faixa_Etaria,Escolaridade,Renda,Ocupacao,Tempo_Residencia,Participou_Oficina,Participa_Associacao,Benef_Programa,Forma_Coleta,QV,Saude,Educacao,Transporte,Seguranca,Meio_Ambiente,Agua,Geracao_Renda,Confianca_Empresa,Confianca_PoderPublico,Pertencimento,Conhecimento_Projeto,Transparencia,Participacao_Social,Principal_Preocupacao,Prioridade_Investimento,Canal_Comunicacao,Sugestao
118,Rio Claro,Centro,Rural,F,68,60+,Médio,3210,Agricultura,5,Não,Não,Sim,Tablet,5,3,3,3,5,4,3,3,4,4,4,4,4,2,Água,Saúde,Lideranças,Investir em qualificação profissional.
119,Boa Esperança,Santa Rita,Urbana,M,47,45-59,Médio,1203,Autônomo,44,Sim,Não,Não,QR Code,4,4,2,4,3,3,5,2,3,3,5,4,3,3,Emprego,Saúde,WhatsApp,Ampliar atendimento de saúde.
120,São Miguel do Norte,São José,Rural,F,59,45-59,Médio,3147,Aposentado,7,Sim,Sim,Não,Totem,2,4,5,1,4,5,2,4,5,4,5,5,5,3,Água,Saúde,Redes Sociais,Investir em qualificação profissional.
121,Pedra Branca,Pedreira,Rural,F,18,18-29,Fundamental,1879,Agricultura,37,Não,Não,Não,QR Code,4,2,5,1,2,4,3,5,4,5,3,4,4,3,Água,Emprego,Redes Sociais,Melhorar abastecimento de água.
122,Serra Azul,Barreiro,Rural,F,46,45-59,Médio,3409,Formal,3,Não,Sim,Sim,Totem,4,2,4,1,5,4,3,3,5,4,3,3,5,2,Água,Saúde,Redes Sociais,Ampliar atendimento de saúde.
123,Serra Azul,Barreiro,Urbana,M,68,60+,Fundamental,2977,Autônomo,47,Sim,Não,Não,Totem,5,4,3,4,5,2,5,4,5,5,4,5,5,3,Saúde,Saúde,WhatsApp,Melhorar transporte rural.
124,São Miguel do Norte,São José,Urbana,F,49,45-59,Fundamental,2566,Formal,14,Não,Não,Não,Totem,2,4,2,4,5,4,5,3,2,4,4,2,2,3,Saúde,Saúde,Redes Sociais,Ampliar atendimento de saúde.
125,Serra Azul,Barreiro,Rural,F,72,60+,Fundamental,3473,Desempregado,11,Não,Não,Não,QR Code,2,2,4,3,2,4,2,3,2,2,3,3,2,2,Água,Saúde,WhatsApp,Aumentar diálogo com comunidades.
126,Boa Esperança,Santa Rita,Urbana,M,31,30-44,Superior,1318,Formal,8,Não,Não,Não,Tablet,2,4,4,4,4,3,5,2,3,3,3,2,3,1,Saúde,Água,Lideranças,Ampliar atendimento de saúde.
127,Santa Aurora,Lagoa,Urbana,F,61,60+,Superior,1816,Formal,11,Sim,Não,Não,Totem,2,4,5,4,3,5,5,2,3,2,5,5,3,3,Segurança,Saúde,Redes Sociais,Aumentar diálogo com comunidades.
128,Vale Verde,Boa Vista,Urbana,M,40,30-44,Médio,2474,Formal,42,Não,Sim,Não,QR Code,5,4,2,4,2,4,5,4,3,4,4,5,3,2,Emprego,Água,Redes Sociais,Investir em qualificação profissional.
129,Vale Verde,Boa Vista,Rural,M,72,60+,Médio,2374,Formal,17,Não,Não,Sim,Tablet,4,2,4,3,5,3,2,2,3,5,3,2,3,2,Água,Saúde,Lideranças,Melhorar abastecimento de água.
130,São Miguel do Norte,São José,Urbana,M,47,45-59,Superior,2935,Desempregado,37,Não,Sim,Não,Tablet,4,4,2,4,4,3,5,5,5,3,5,3,5,1,Saúde,Saúde,Rádio,Melhorar abastecimento de água.
131,Santa Aurora,Lagoa,Urbana,M,56,45-59,Superior,1881,Desempregado,44,Sim,Não,Não,Totem,4,4,2,4,2,2,5,4,5,3,4,4,5,3,Segurança,Saúde,Redes Sociais,Melhorar transporte rural.
132,Pedra Branca,Pedreira,Urbana,M,62,60+,Superior,1512,Agricultura,34,Não,Não,Não,Totem,5,4,5,4,2,4,5,4,3,5,3,4,3,3,Segurança,Saúde,Rádio,Ampliar atendimento de saúde.
133,Boa Esperança,Santa Rita,Urbana,M,76,60+,Fundamental,2570,Aposentado,12,Não,Não,Não,Totem,5,4,5,4,2,5,5,2,4,2,4,2,4,3,Saúde,Saúde,WhatsApp,Investir em qualificação profissional.
134,Pedra Branca,Pedreira,Urbana,M,68,60+,Médio,1917,Aposentado,29,Não,Não,Não,QR Code,5,4,5,4,5,2,5,2,2,4,5,2,2,3,Emprego,Saúde,Rádio,Investir em qualificação profissional.
135,Serra Azul,Barreiro,Urbana,M,58,45-59,Fundamental,1452,Formal,20,Não,Não,Não,Totem,5,4,5,4,2,3,5,4,4,2,4,4,4,3,Saúde,Saúde,Lideranças,Melhorar transporte rural.
136,São Miguel do Norte,São José,Rural,M,71,60+,Fundamental,2559,Autônomo,9,Sim,Não,Não,Tablet,5,2,4,3,3,4,2,3,3,2,3,3,3,3,Água,Saúde,Redes Sociais,Aumentar diálogo com comunidades.
137,Serra Azul,Barreiro,Urbana,M,68,60+,Superior,1736,Agricultura,57,Sim,Não,Não,Totem,2,4,2,4,3,2,5,2,5,3,5,3,5,3,Segurança,Saúde,Redes Sociais,Melhorar abastecimento de água.
138,Serra Azul,Barreiro,Urbana,F,34,30-44,Fundamental,1545,Desempregado,60,Sim,Sim,Sim,Tablet,4,4,3,4,3,4,5,2,4,5,5,5,4,3,Emprego,Educação,Lideranças,Melhorar transporte rural.
139,São Miguel do Norte,São José,Rural,F,31,30-44,Superior,1988,Autônomo,13,Sim,Sim,Não,Tablet,2,3,5,3,5,3,3,5,4,5,5,5,4,3,Água,Educação,Rádio,Aumentar diálogo com comunidades.
140,Pedra Branca,Pedreira,Urbana,M,77,60+,Fundamental,2879,Formal,56,Não,Sim,Sim,Totem,4,4,3,4,3,5,5,5,3,3,5,3,3,3,Segurança,Saúde,WhatsApp,Aumentar diálogo com comunidades.
141,Pedra Branca,Pedreira,Urbana,F,24,18-29,Médio,2459,Agricultura,20,Sim,Não,Não,Tablet,2,4,3,4,4,5,5,4,5,4,3,3,5,3,Emprego,Emprego,Redes Sociais,Aumentar diálogo com comunidades.
142,Lagoa Nova,Córrego,Urbana,F,70,60+,Fundamental,3469,Formal,20,Sim,Não,Sim,Totem,5,4,2,4,4,4,5,4,5,2,3,3,5,3,Emprego,Saúde,Redes Sociais,Investir em qualificação profissional.
143,Vale Verde,Boa Vista,Urbana,M,53,45-59,Superior,3330,Aposentado,60,Não,Não,Não,Totem,4,4,4,4,4,3,5,5,3,3,3,3,3,1,Saúde,Saúde,Rádio,Aumentar diálogo com comunidades.
144,Serra Azul,Barreiro,Urbana,M,41,30-44,Superior,3147,Desempregado,19,Não,Sim,Não,Totem,4,4,5,4,2,4,5,5,5,3,3,3,5,2,Emprego,Educação,Rádio,Melhorar transporte rural.
145,Lagoa Nova,Córrego,Urbana,F,78,60+,Superior,1900,Desempregado,7,Não,Não,Sim,Tablet,2,4,2,4,4,5,5,2,2,2,5,4,2,1,Emprego,Saúde,Rádio,Melhorar abastecimento de água.
146,Vale Verde,Boa Vista,Urbana,M,68,60+,Médio,1588,Agricultura,58,Sim,Não,Não,QR Code,2,4,4,4,4,4,5,4,5,5,5,3,5,3,Emprego,Saúde,Rádio,Melhorar abastecimento de água.
147,Pedra Branca,Pedreira,Rural,M,58,45-59,Fundamental,1510,Autônomo,47,Não,Não,Não,QR Code,2,4,4,2,2,5,4,2,4,5,3,3,4,3,Água,Saúde,Rádio,Investir em qualificação profissional.
148,Boa Esperança,Santa Rita,Urbana,M,29,18-29,Superior,2531,Desempregado,29,Não,Não,Sim,QR Code,5,4,2,4,4,3,5,2,4,2,5,3,4,3,Saúde,Emprego,WhatsApp,Investir em qualificação profissional.
149,São Miguel do Norte,São José,Rural,M,72,60+,Médio,2384,Aposentado,3,Sim,Não,Sim,Tablet,4,4,4,2,5,3,3,3,4,4,3,4,4,3,Água,Saúde,WhatsApp,Melhorar transporte rural.
150,Rio Claro,Centro,Urbana,M,39,30-44,Médio,2209,Agricultura,52,Sim,Não,Não,Totem,5,4,3,4,4,2,5,3,3,2,3,5,3,3,Emprego,Emprego,Redes Sociais,Investir em qualificação profissional.
151,Rio Claro,Centro,Urbana,M,44,30-44,Fundamental,2596,Agricultura,27,Não,Não,Não,Tablet,5,4,2,4,5,4,5,2,4,5,5,2,4,1,Emprego,Emprego,Lideranças,Investir em qualificação profissional.
152,Rio Claro,Centro,Urbana,F,61,60+,Superior,3839,Agricultura,24,Não,Sim,Não,Totem,5,4,3,4,3,5,5,4,3,3,4,4,3,1,Segurança,Saúde,Lideranças,Ampliar atendimento de saúde.
153,Boa Esperança,Santa Rita,Urbana,M,78,60+,Fundamental,3073,Aposentado,47,Não,Sim,Não,Tablet,3,4,3,4,4,2,5,2,4,4,3,3,4,2,Saúde,Saúde,WhatsApp,Melhorar abastecimento de água.
154,Santa Aurora,Lagoa,Urbana,M,38,30-44,Fundamental,2658,Aposentado,18,Sim,Não,Sim,Totem,4,4,2,4,3,2,5,3,3,2,4,3,3,3,Saúde,Emprego,Redes Sociais,Melhorar abastecimento de água.
155,Lagoa Nova,Córrego,Urbana,M,68,60+,Fundamental,1491,Autônomo,44,Sim,Não,Não,Tablet,3,4,2,4,5,4,5,4,3,3,5,5,3,3,Emprego,Saúde,Rádio,Melhorar abastecimento de água.
156,Pedra Branca,Pedreira,Urbana,F,18,18-29,Superior,1976,Agricultura,35,Não,Não,Não,Tablet,3,4,2,4,5,2,5,5,2,4,5,4,2,3,Saúde,Emprego,Redes Sociais,Ampliar atendimento de saúde.
157,Pedra Branca,Pedreira,Urbana,M,32,30-44,Médio,1852,Desempregado,50,Não,Sim,Não,Tablet,5,4,2,4,3,3,5,2,3,2,5,3,3,2,Saúde,Educação,Redes Sociais,Aumentar diálogo com comunidades.
158,Lagoa Nova,Córrego,Urbana,F,55,45-59,Médio,2001,Desempregado,19,Não,Não,Não,Totem,4,4,5,4,3,5,5,2,4,2,4,2,4,3,Segurança,Saúde,WhatsApp,Investir em qualificação profissional.
159,Boa Esperança,Santa Rita,Urbana,F,23,18-29,Superior,1540,Formal,5,Não,Não,Não,QR Code,4,4,2,4,5,3,5,2,4,5,3,2,4,1,Emprego,Emprego,WhatsApp,Melhorar abastecimento de água.
160,Rio Claro,Centro,Urbana,F,25,18-29,Superior,4136,Aposentado,19,Não,Não,Não,QR Code,4,4,3,4,5,4,5,3,2,3,5,2,2,2,Emprego,Emprego,Lideranças,Investir em qualificação profissional.
161,Serra Azul,Barreiro,Urbana,M,69,60+,Superior,2863,Aposentado,2,Não,Sim,Não,Totem,4,4,3,4,3,2,5,5,3,4,3,4,3,3,Emprego,Saúde,Lideranças,Investir em qualificação profissional.
162,Lagoa Nova,Córrego,Rural,M,76,60+,Médio,2108,Aposentado,19,Sim,Não,Não,Tablet,5,4,4,1,5,3,4,2,4,2,5,5,4,3,Água,Saúde,Lideranças,Melhorar abastecimento de água.
163,Vale Verde,Boa Vista,Rural,F,52,45-59,Médio,1430,Agricultura,43,Sim,Não,Não,QR Code,4,4,5,3,2,5,2,3,4,5,3,3,4,3,Água,Saúde,Lideranças,Ampliar atendimento de saúde.
164,Vale Verde,Boa Vista,Urbana,M,33,30-44,Médio,2573,Agricultura,49,Não,Não,Não,QR Code,4,4,5,4,3,5,5,5,2,4,4,4,2,3,Saúde,Educação,Redes Sociais,Investir em qualificação profissional.
165,Pedra Branca,Pedreira,Rural,M,55,45-59,Fundamental,1583,Aposentado,35,Sim,Não,Sim,QR Code,3,2,5,2,2,3,2,3,4,4,5,4,4,3,Água,Saúde,Redes Sociais,Investir em qualificação profissional.
166,Pedra Branca,Pedreira,Rural,M,30,30-44,Médio,3206,Autônomo,10,Não,Não,Não,QR Code,4,2,4,1,5,3,3,5,3,4,5,3,3,3,Água,Emprego,Lideranças,Melhorar transporte rural.
167,Boa Esperança,Santa Rita,Rural,F,48,45-59,Médio,3014,Formal,35,Sim,Não,Não,Tablet,3,4,2,2,3,2,2,2,5,3,5,5,5,3,Água,Saúde,Lideranças,Aumentar diálogo com comunidades.
168,Rio Claro,Centro,Urbana,F,48,45-59,Médio,4199,Aposentado,28,Não,Não,Não,Tablet,5,4,4,4,5,4,5,4,4,2,4,3,4,3,Emprego,Saúde,WhatsApp,Aumentar diálogo com comunidades.
169,Serra Azul,Barreiro,Rural,M,39,30-44,Fundamental,2684,Formal,60,Não,Sim,Sim,Tablet,4,2,3,1,3,2,2,4,4,3,5,4,4,3,Água,Educação,Lideranças,Aumentar diálogo com comunidades.
170,Pedra Branca,Pedreira,Rural,M,27,18-29,Superior,3252,Aposentado,17,Sim,Não,Não,Tablet,4,2,5,1,5,4,2,4,3,4,5,3,3,3,Água,Emprego,Redes Sociais,Investir em qualificação profissional.
171,Rio Claro,Centro,Urbana,F,28,18-29,Fundamental,3113,Autônomo,35,Não,Não,Não,QR Code,4,4,4,4,2,3,5,4,3,2,5,4,3,1,Saúde,Emprego,Lideranças,Melhorar transporte rural.
172,Vale Verde,Boa Vista,Rural,M,50,45-59,Médio,1841,Formal,54,Não,Sim,Não,Totem,4,3,3,2,2,4,3,3,4,5,4,5,4,3,Água,Saúde,Lideranças,Investir em qualificação profissional.
173,Santa Aurora,Lagoa,Urbana,F,41,30-44,Médio,1447,Formal,51,Não,Sim,Não,Totem,3,4,4,4,5,4,5,2,4,4,4,5,4,1,Emprego,Educação,Redes Sociais,Aumentar diálogo com comunidades.
174,Pedra Branca,Pedreira,Rural,M,27,18-29,Superior,2639,Autônomo,9,Não,Não,Não,Tablet,4,3,5,1,2,5,2,4,4,2,3,4,4,3,Água,Emprego,Rádio,Melhorar transporte rural.
175,Lagoa Nova,Córrego,Urbana,M,76,60+,Superior,3334,Aposentado,19,Não,Não,Sim,Totem,5,4,3,4,2,3,5,2,3,2,5,3,3,1,Emprego,Saúde,Rádio,Ampliar atendimento de saúde.
176,São Miguel do Norte,São José,Urbana,M,32,30-44,Médio,2062,Agricultura,9,Não,Sim,Não,QR Code,4,4,4,4,2,4,5,2,3,4,4,3,3,3,Segurança,Educação,WhatsApp,Investir em qualificação profissional.
177,Serra Azul,Barreiro,Rural,F,79,60+,Fundamental,3403,Agricultura,53,Não,Não,Não,QR Code,3,4,2,1,2,3,3,3,4,4,3,2,4,2,Água,Saúde,Rádio,Aumentar diálogo com comunidades.
178,Rio Claro,Centro,Rural,F,51,45-59,Fundamental,3566,Autônomo,49,Não,Sim,Não,Tablet,5,2,3,2,3,5,2,2,5,4,4,4,5,3,Água,Saúde,Rádio,Ampliar atendimento de saúde.
179,Rio Claro,Centro,Urbana,F,56,45-59,Médio,3212,Autônomo,40,Não,Sim,Não,QR Code,3,4,4,4,3,5,5,3,4,4,4,4,4,3,Saúde,Saúde,WhatsApp,Investir em qualificação profissional.
180,Serra Azul,Barreiro,Urbana,M,20,18-29,Superior,2037,Autônomo,13,Sim,Não,Não,QR Code,5,4,3,4,3,5,5,5,3,3,3,3,3,3,Saúde,Emprego,Lideranças,Ampliar atendimento de saúde.
181,Vale Verde,Boa Vista,Rural,F,56,45-59,Superior,2141,Agricultura,1,Não,Não,Não,QR Code,4,3,2,2,5,5,4,2,3,5,3,2,3,2,Água,Saúde,WhatsApp,Investir em qualificação profissional.
182,São Miguel do Norte,São José,Rural,F,62,60+,Médio,2339,Agricultura,10,Não,Não,Sim,QR Code,2,3,3,3,3,3,3,2,2,4,5,2,2,2,Água,Saúde,Rádio,Melhorar abastecimento de água.
183,Rio Claro,Centro,Urbana,M,77,60+,Fundamental,2298,Agricultura,33,Sim,Não,Não,QR Code,4,4,2,4,5,5,5,5,3,5,5,5,3,3,Saúde,Saúde,Lideranças,Aumentar diálogo com comunidades.
184,Vale Verde,Boa Vista,Urbana,F,35,30-44,Médio,2285,Desempregado,44,Não,Não,Não,QR Code,3,4,4,4,5,5,5,2,4,5,3,2,4,1,Saúde,Educação,Rádio,Ampliar atendimento de saúde.
185,Boa Esperança,Santa Rita,Urbana,F,43,30-44,Médio,1709,Autônomo,42,Não,Não,Não,QR Code,5,4,5,4,3,2,5,2,4,4,3,2,4,3,Emprego,Emprego,WhatsApp,Melhorar abastecimento de água.
186,Santa Aurora,Lagoa,Rural,M,42,30-44,Médio,3115,Aposentado,45,Sim,Não,Não,Tablet,2,2,3,1,4,2,3,2,4,4,5,4,4,3,Água,Água,Rádio,Aumentar diálogo com comunidades.
187,São Miguel do Norte,São José,Rural,F,71,60+,Superior,1582,Desempregado,33,Sim,Sim,Não,Totem,4,3,4,2,5,4,3,5,5,4,4,4,5,3,Água,Saúde,WhatsApp,Melhorar transporte rural.
188,Pedra Branca,Pedreira,Rural,F,34,30-44,Fundamental,1722,Agricultura,55,Não,Não,Não,Tablet,3,4,2,3,4,5,3,5,2,4,5,4,2,3,Água,Emprego,Lideranças,Ampliar atendimento de saúde.
189,Pedra Branca,Pedreira,Rural,F,26,18-29,Fundamental,2838,Desempregado,56,Sim,Não,Sim,QR Code,4,4,2,3,2,2,3,3,3,2,4,5,3,3,Água,Emprego,Lideranças,Investir em qualificação profissional.
190,Santa Aurora,Lagoa,Urbana,F,69,60+,Médio,1931,Formal,55,Sim,Não,Não,QR Code,2,4,2,4,5,2,5,5,3,4,3,5,3,3,Saúde,Saúde,Lideranças,Aumentar diálogo com comunidades.
191,Vale Verde,Boa Vista,Urbana,M,59,45-59,Médio,3098,Autônomo,42,Sim,Não,Não,QR Code,4,4,2,4,2,3,5,5,4,2,3,4,4,3,Emprego,Saúde,WhatsApp,Ampliar atendimento de saúde.
192,Serra Azul,Barreiro,Rural,F,33,30-44,Fundamental,1875,Formal,3,Sim,Sim,Não,QR Code,2,3,2,3,5,4,2,4,5,2,3,4,5,3,Água,Água,Rádio,Ampliar atendimento de saúde.
193,Pedra Branca,Pedreira,Urbana,M,56,45-59,Superior,3489,Agricultura,45,Não,Sim,Não,QR Code,4,4,3,4,4,3,5,3,3,4,5,3,3,2,Saúde,Saúde,Lideranças,Melhorar abastecimento de água.
194,Pedra Branca,Pedreira,Urbana,M,50,45-59,Médio,3473,Aposentado,33,Não,Não,Não,QR Code,3,4,3,4,5,4,5,2,4,5,5,4,4,2,Emprego,Saúde,Lideranças,Aumentar diálogo com comunidades.
195,Boa Esperança,Santa Rita,Rural,M,50,45-59,Fundamental,1370,Agricultura,60,Não,Não,Não,Tablet,2,2,4,3,2,3,4,2,2,3,5,4,2,2,Água,Saúde,Lideranças,Investir em qualificação profissional.
196,Lagoa Nova,Córrego,Rural,M,28,18-29,Fundamental,1887,Agricultura,11,Sim,Não,Não,QR Code,4,4,2,3,5,2,3,4,3,3,3,4,3,3,Água,Emprego,Lideranças,Melhorar abastecimento de água.
197,Pedra Branca,Pedreira,Rural,M,68,60+,Fundamental,3496,Agricultura,16,Sim,Não,Não,Tablet,2,4,3,3,4,5,3,2,3,4,3,3,3,3,Água,Saúde,Lideranças,Ampliar atendimento de saúde.
198,Pedra Branca,Pedreira,Urbana,F,34,30-44,Médio,3151,Agricultura,21,Sim,Não,Sim,Totem,2,4,2,4,2,2,5,4,5,2,5,5,5,3,Segurança,Educação,Redes Sociais,Aumentar diálogo com comunidades.
199,Boa Esperança,Santa Rita,Urbana,M,19,18-29,Superior,1771,Agricultura,42,Sim,Não,Sim,Totem,2,4,2,4,4,2,5,2,4,2,4,3,4,3,Segurança,Emprego,Redes Sociais,Investir em qualificação profissional.
200,Vale Verde,Boa Vista,Rural,F,76,60+,Médio,1772,Aposentado,52,Sim,Sim,Não,QR Code,5,2,4,1,2,3,3,3,4,2,5,4,4,3,Água,Saúde,Redes Sociais,Ampliar atendimento de saúde.
201,São Miguel do Norte,São José,Urbana,M,20,18-29,Superior,2449,Autônomo,55,Não,Não,Não,QR Code,3,4,4,4,5,3,5,3,4,3,3,3,4,1,Saúde,Emprego,Rádio,Investir em qualificação profissional.
202,Vale Verde,Boa Vista,Urbana,F,60,60+,Fundamental,3340,Agricultura,14,Não,Sim,Não,Tablet,3,4,2,4,3,3,5,3,5,5,4,4,5,1,Emprego,Saúde,Redes Sociais,Aumentar diálogo com comunidades.
203,Santa Aurora,Lagoa,Urbana,F,61,60+,Superior,2206,Desempregado,59,Não,Não,Não,Totem,3,4,4,4,3,4,5,4,3,4,4,2,3,1,Segurança,Saúde,WhatsApp,Aumentar diálogo com comunidades.
204,São Miguel do Norte,São José,Urbana,M,67,60+,Superior,1435,Formal,5,Não,Não,Sim,Totem,5,4,5,4,4,3,5,3,2,4,3,2,2,3,Emprego,Saúde,Rádio,Melhorar abastecimento de água.
205,São Miguel do Norte,São José,Rural,M,23,18-29,Médio,3469,Autônomo,24,Sim,Não,Não,Tablet,5,3,2,1,3,2,3,4,4,5,3,3,4,3,Água,Emprego,WhatsApp,Aumentar diálogo com comunidades.
206,Lagoa Nova,Córrego,Urbana,M,33,30-44,Médio,1879,Aposentado,49,Não,Não,Sim,QR Code,5,4,4,4,5,3,5,5,3,2,5,2,3,2,Segurança,Educação,Lideranças,Investir em qualificação profissional.
207,Santa Aurora,Lagoa,Rural,M,36,30-44,Fundamental,3381,Autônomo,60,Não,Não,Não,QR Code,2,3,3,1,5,3,4,3,3,2,4,3,3,3,Água,Água,Lideranças,Ampliar atendimento de saúde.
208,Rio Claro,Centro,Rural,M,27,18-29,Médio,3623,Aposentado,49,Sim,Sim,Não,Totem,3,3,2,3,2,2,3,4,4,2,4,5,4,3,Água,Emprego,Rádio,Melhorar abastecimento de água.
209,Boa Esperança,Santa Rita,Urbana,F,46,45-59,Superior,2381,Desempregado,33,Sim,Não,Sim,Totem,4,4,5,4,3,4,5,2,5,4,5,5,5,3,Saúde,Saúde,Lideranças,Investir em qualificação profissional.
210,Pedra Branca,Pedreira,Urbana,F,66,60+,Fundamental,2617,Formal,22,Não,Não,Sim,Totem,3,4,3,4,4,4,5,2,3,2,4,2,3,2,Segurança,Saúde,Redes Sociais,Aumentar diálogo com comunidades.
211,Santa Aurora,Lagoa,Urbana,F,20,18-29,Médio,1701,Desempregado,32,Não,Não,Não,Tablet,5,4,4,4,4,2,5,5,2,3,5,3,2,1,Emprego,Emprego,Redes Sociais,Ampliar atendimento de saúde.
212,Santa Aurora,Lagoa,Rural,F,61,60+,Superior,2765,Autônomo,29,Sim,Não,Não,QR Code,2,2,3,1,5,4,2,5,3,4,4,4,3,3,Água,Saúde,Lideranças,Aumentar diálogo com comunidades.
213,Pedra Branca,Pedreira,Urbana,F,79,60+,Superior,2345,Desempregado,15,Não,Não,Não,Tablet,3,4,5,4,2,2,5,3,3,5,4,2,3,2,Segurança,Saúde,Redes Sociais,Melhorar abastecimento de água.
214,Santa Aurora,Lagoa,Urbana,F,59,45-59,Superior,3007,Desempregado,48,Não,Não,Sim,Totem,3,4,3,4,4,3,5,4,3,4,4,2,3,3,Saúde,Saúde,Rádio,Aumentar diálogo com comunidades.
215,Boa Esperança,Santa Rita,Rural,M,50,45-59,Fundamental,2908,Formal,48,Não,Não,Não,Totem,2,4,2,3,4,2,3,2,4,3,3,2,4,2,Água,Saúde,WhatsApp,Investir em qualificação profissional.
216,Santa Aurora,Lagoa,Rural,F,44,30-44,Superior,1831,Autônomo,21,Sim,Sim,Não,Totem,4,3,3,3,4,4,4,4,4,3,4,5,4,3,Água,Educação,Redes Sociais,Aumentar diálogo com comunidades.
217,Santa Aurora,Lagoa,Urbana,F,32,30-44,Fundamental,2185,Desempregado,21,Não,Não,Não,Tablet,2,4,3,4,4,2,5,3,2,3,3,4,2,3,Segurança,Emprego,Rádio,Melhorar abastecimento de água.
218,Rio Claro,Centro,Rural,F,43,30-44,Fundamental,3592,Aposentado,21,Não,Não,Não,Tablet,4,4,3,2,2,5,3,5,4,2,5,2,4,2,Água,Emprego,Rádio,Ampliar atendimento de saúde.
219,Rio Claro,Centro,Rural,F,23,18-29,Fundamental,4180,Aposentado,29,Não,Sim,Não,Tablet,2,4,4,2,2,2,2,4,3,2,5,3,3,3,Água,Emprego,Lideranças,Investir em qualificação profissional.
220,Rio Claro,Centro,Urbana,M,36,30-44,Fundamental,3746,Autônomo,8,Sim,Não,Não,Totem,5,4,3,4,5,5,5,3,5,3,5,5,5,3,Segurança,Emprego,Redes Sociais,Melhorar transporte rural.
221,Boa Esperança,Santa Rita,Rural,M,21,18-29,Médio,1879,Agricultura,35,Não,Sim,Não,Totem,2,4,2,3,4,5,2,2,4,5,3,3,4,3,Água,Emprego,Lideranças,Melhorar abastecimento de água.
222,Boa Esperança,Santa Rita,Urbana,F,80,60+,Superior,2703,Desempregado,58,Sim,Não,Não,Tablet,3,4,3,4,2,3,5,2,3,2,4,3,3,3,Emprego,Saúde,Rádio,Investir em qualificação profissional.
223,Boa Esperança,Santa Rita,Urbana,F,48,45-59,Médio,1624,Desempregado,15,Não,Não,Não,Tablet,4,4,5,4,4,3,5,2,2,3,4,3,2,1,Saúde,Saúde,Lideranças,Melhorar abastecimento de água.
224,São Miguel do Norte,São José,Urbana,F,52,45-59,Superior,1836,Desempregado,35,Não,Não,Não,QR Code,4,4,3,4,2,5,5,4,4,5,3,4,4,1,Emprego,Saúde,WhatsApp,Melhorar abastecimento de água.
225,Serra Azul,Barreiro,Urbana,F,22,18-29,Superior,2633,Formal,34,Não,Não,Não,QR Code,4,4,5,4,4,5,5,4,3,2,4,4,3,2,Emprego,Emprego,Rádio,Melhorar abastecimento de água.
226,São Miguel do Norte,São José,Urbana,F,46,45-59,Médio,1558,Aposentado,26,Sim,Não,Sim,QR Code,4,4,4,4,3,2,5,2,4,4,5,4,4,3,Segurança,Saúde,WhatsApp,Aumentar diálogo com comunidades.
227,Pedra Branca,Pedreira,Rural,M,37,30-44,Fundamental,3401,Agricultura,3,Sim,Não,Não,QR Code,5,3,3,3,4,2,3,2,5,5,4,4,5,3,Água,Emprego,WhatsApp,Melhorar abastecimento de água.
228,Lagoa Nova,Córrego,Urbana,F,34,30-44,Superior,3568,Autônomo,38,Não,Não,Não,Tablet,3,4,4,4,3,5,5,3,2,2,3,4,2,2,Saúde,Água,Lideranças,Investir em qualificação profissional.
229,Boa Esperança,Santa Rita,Urbana,F,25,18-29,Superior,2714,Autônomo,59,Não,Não,Não,Totem,2,4,5,4,3,5,5,2,2,3,5,3,2,3,Emprego,Emprego,Rádio,Investir em qualificação profissional.
230,Boa Esperança,Santa Rita,Urbana,F,72,60+,Superior,2367,Agricultura,60,Não,Sim,Não,Tablet,5,4,2,4,4,3,5,2,4,5,4,4,4,2,Saúde,Saúde,Redes Sociais,Ampliar atendimento de saúde.
231,Boa Esperança,Santa Rita,Urbana,F,34,30-44,Fundamental,911,Agricultura,1,Não,Não,Não,QR Code,2,4,3,4,2,3,5,2,4,4,5,3,4,3,Saúde,Água,Redes Sociais,Ampliar atendimento de saúde.
232,Lagoa Nova,Córrego,Urbana,M,68,60+,Superior,2218,Desempregado,51,Não,Não,Não,QR Code,4,4,3,4,3,3,5,3,4,2,4,3,4,3,Emprego,Saúde,Lideranças,Aumentar diálogo com comunidades.
233,Lagoa Nova,Córrego,Urbana,M,19,18-29,Superior,2602,Agricultura,26,Sim,Não,Sim,Totem,5,4,4,4,2,5,5,3,5,2,5,3,5,3,Saúde,Emprego,Redes Sociais,Melhorar abastecimento de água.
234,Pedra Branca,Pedreira,Rural,M,59,45-59,Fundamental,3078,Autônomo,36,Não,Sim,Não,Totem,4,4,2,2,2,2,2,3,4,3,4,5,4,2,Água,Saúde,Redes Sociais,Ampliar atendimento de saúde.
235,Serra Azul,Barreiro,Rural,F,55,45-59,Fundamental,1704,Formal,21,Não,Sim,Não,Totem,3,2,5,1,4,2,4,2,3,5,4,5,3,2,Água,Saúde,WhatsApp,Ampliar atendimento de saúde.
236,Pedra Branca,Pedreira,Rural,M,72,60+,Fundamental,3327,Agricultura,43,Sim,Não,Sim,Totem,2,4,2,3,2,5,2,2,3,4,3,4,3,3,Água,Saúde,Redes Sociais,Ampliar atendimento de saúde.
